ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT,RF_Predictions,LSTM_Predictions,Prediction_Error,Adjusted_LSTM_Predictions
0.605,0.404,-1.07,-0.663,-0.501,0.0,-0.92,1.0,0.0,1.383,1.278,1.407,0.0,-0.58,-0.564,-0.1458,0.02582,0.8823,1.25,-0.9403,0.02069,0.8716,0.4849,-0.435,-0.2134,-0.2554,0.0,0.0,-0.2666,0.0,-0.282,0.3235,-0.36,-0.0213,-1.0,0.0,0.0,-0.09143,0.522,0.3682,-0.5,1.0,0.0,1.0,-2.91,-0.0299,-0.281144,,,
0.5405,0.42,-1.07,-0.663,0.1484,0.125,-0.92,1.0,0.0,1.383,1.278,1.418,0.0,-0.5796,1.0625,-0.1458,0.02582,0.8784,1.262,0.08787,0.0602,-0.94,0.8706,0.4846,-0.2106,-0.2554,0.0,0.0,-0.2637,0.0,-0.2817,0.1024,-0.153,0.00406,0.0,0.5,0.0,-0.0947,0.5225,0.3677,0.0,0.0,0.0,0.0,0.0,-0.002827,0.3638383999999998,,,
0.4814,0.646,-1.07,-0.663,0.6333,0.25,-0.92,1.0,0.0,1.383,1.278,1.476,0.0,-0.5786,-0.3997,-0.1458,0.02582,1.105,1.275,0.6085,0.123,0.08777,-0.9395,0.87,-0.2091,-0.2554,0.0,0.0,-0.2585,0.0,-0.2499,0.2191,-0.2522,0.03683,1.0,1.0,0.3333,-0.3425,0.6387,0.4995,0.5,0.0,1.0,0.0,3.9,0.0325,-0.5114528,,,
0.4094,0.1577,-1.07,-0.663,-0.6777,0.375,-0.92,1.0,0.0,1.383,1.278,1.402,0.0,-0.578,-0.2544,-0.1458,0.02582,0.634,1.29,-0.8656,0.1302,0.6084,0.0877,-0.9385,-0.2087,-0.2554,0.0,0.0,-0.2546,0.0,-0.3093,0.4897,-0.515,-0.05548,0.0,0.5,0.3333,-0.01493,0.2445,0.2094,-0.5,1.0,0.0,1.0,-1.926,-0.0663,-1.3880812,,,
0.655,-0.847,-1.07,-0.663,-4.543,0.375,-0.92,0.0,0.0,1.383,1.278,1.205,0.0,-0.5776,3.59,-0.1458,0.02582,-0.4136,1.29,-2.2929,0.1326,-0.865,0.608,0.0876,-0.2181,-0.2554,0.0,0.0,-0.255,0.0,-0.4536,-0.1523,0.04996,-0.1779,-1.0,0.0,0.0,0.905,-0.5874,-0.4702,-0.5,2.0,0.0,0.0,0.0,-0.1997,-0.150036,,,
0.5234,-0.563,-1.07,-0.663,-0.3518,0.375,-0.92,0.0,0.0,1.383,1.278,1.27,0.0,-0.577,0.2306,-0.1458,0.02582,-0.3823,1.351,0.7257,0.01308,-2.293,-0.8647,0.6074,-0.2264,-0.2554,0.0,0.0,-0.2502,0.0,-0.4075,0.12494,-0.1973,0.0395,0.0,0.0,0.3333,0.597,-0.1901,-0.3015,0.0,0.0,0.0,0.0,0.0,0.0379,0.243428,,,
0.5835,-0.2272,-1.07,-0.663,-0.774,0.375,-0.92,0.0,0.0,1.383,1.278,1.35,0.0,-0.576,1.01,-0.07697,0.02582,-0.0376,1.364,0.9024,-0.04724,0.7256,-2.29,-0.864,-0.2346,-0.2554,0.0,0.0,-0.246,0.0,-0.351,0.25,-0.3008,0.03848,0.0,0.5,0.6665,0.2269,0.1858,-0.02907,0.5,0.0,0.0,0.0,0.0,0.03598,-0.1583184,,,
0.545,-0.2152,-1.07,-0.663,-0.00641,0.25,-0.92,0.0,0.0,1.383,1.278,1.361,0.0,-0.5757,-0.02254,0.05093,0.02582,-0.1503,1.398,0.0897,-0.04514,0.9023,0.7246,-2.29,-0.2374,-0.2554,0.0,0.0,-0.2448,0.0,-0.3477,0.1288,-0.1864,0.00454,0.0,1.0,0.6665,0.1235,0.1531,0.005253,1.0,0.0,1.0,0.0,3.008,-0.002169,-0.0792999999999999,,,
0.3933,0.12384,-1.07,-0.663,-3.56,0.25,-0.92,1.0,0.0,1.383,1.278,1.432,0.0,-0.575,-0.3044,0.1427,0.02582,0.186,1.404,0.7761,-0.02544,0.08954,0.902,0.724,-0.2366,-0.2554,0.0,0.0,-0.2418,0.0,-0.3013,0.009544,-0.0646,0.04733,1.0,1.0,0.6665,-0.1567,0.433,0.2556,1.5,0.0,0.0,0.0,0.0,0.0446,0.0544859999999999,,,
0.4102,0.6606,-1.07,-0.663,2.967,0.25,-0.92,1.0,0.0,1.383,1.278,1.487,1.0,-0.5806,1.597,0.1976,0.02582,0.7656,1.349,1.2296,-0.05798,0.776,0.0895,0.901,-0.2324,-0.2485,0.0,0.0,-0.2325,0.0,-0.2223,0.065,-0.0983,0.0256,2.0,1.0,0.6665,-0.526,0.8765,0.6353,2.0,0.0,0.0,0.0,0.0,0.02026,-0.14043024,,,
0.3657,0.4973,-1.07,-0.663,-0.1483,0.25,-0.92,1.0,0.0,1.383,1.278,1.465,0.0,-0.58,-0.2357,0.2218,0.02582,0.63,1.353,-0.2959,-0.044,1.2295,0.7754,0.0894,-0.2253,-0.2437,0.0,0.0,-0.2263,0.0,-0.2408,0.1426,-0.1741,-0.00917,1.0,1.0,0.6665,-0.3667,0.6934,0.4734,-0.5,1.0,0.0,0.0,0.0,-0.01697,-0.32992,,,
0.3762,0.169,-1.07,-0.663,-0.551,0.25,-0.92,1.0,0.0,1.383,1.278,1.408,0.0,-0.5796,-0.267,0.2167,0.02582,0.3098,1.356,-0.6786,-0.1487,-0.296,1.229,0.7744,-0.2097,-0.2411,0.0,0.0,-0.2196,0.0,-0.285,0.0903,-0.1344,-0.02277,0.0,0.5,0.6665,-0.0761,0.398,0.2131,-0.5,2.0,0.0,1.0,-1.847,-0.0313,0.2854547999999999,,,
0.2996,0.352,-1.07,-0.663,0.9233,0.25,-0.92,1.0,0.0,1.383,1.278,1.451,0.0,-0.5786,-0.4915,0.1989,0.02345,0.4802,1.367,0.4468999999999999,-0.274,-0.6787,-0.2957,1.228,-0.1953,-0.2373,0.0,0.0,-0.2119,0.0,-0.26,0.0861,-0.1237,0.02576,0.0,0.5,0.6665,-0.2325,0.52,0.394,0.0,0.0,1.0,0.0,1.567,0.02019,-0.3121279999999998,,,
0.2732,0.119,-1.07,-0.663,-0.5083,0.25,-0.92,1.0,0.0,1.383,1.278,1.403,0.0,-0.578,-0.266,0.1539,0.02197,0.2372,1.366,-0.5785,-0.3545,0.4468,-0.678,-0.2954,-0.1887,-0.2339,0.0,0.0,-0.2072,0.0,-0.2961,-0.175,0.11115,-0.01295,-1.0,0.5,0.3333,-0.01268,0.2524,0.1147,-0.5,1.0,0.0,1.0,-1.693,-0.021,-0.0770011999999999,,,
0.2812,-0.2227,-1.07,-0.663,-1.747,0.125,-0.92,0.0,0.0,1.383,1.278,1.336,0.0,-0.5776,-0.6504,0.07825,0.01283,-0.1152,1.365,-0.8169,-0.3586,-0.5786,0.4465,-0.6772,-0.1869,-0.2313,0.0,0.0,-0.2068,0.0,-0.3467,-0.1515,0.0785,-0.01588,-2.0,0.5,0.3333,0.319,-0.03394,-0.279,-0.5,2.0,0.0,1.0,-1.721,-0.02423,-0.2839960000000001,,,
0.2595,-0.2666,-1.07,-0.663,0.5566,0.0,-0.92,0.0,0.0,1.383,1.278,1.324,0.0,-0.577,0.683,-0.02017,-0.005047,-0.1636,1.363,-0.1739,-0.3596,-0.817,-0.578,0.446,-0.1901,-0.2268,0.0,0.0,-0.2083,0.0,-0.3567,-0.2,0.1217,-0.01099,-2.0,0.0,0.0,0.3376,-0.1035,-0.3235,-0.5,3.0,0.0,0.0,0.0,-0.01912,-0.1629579999999999,,,
0.257,-0.3723,-1.07,-0.663,0.8945,-0.125,-0.92,0.0,0.0,1.383,1.278,1.295,0.0,-0.576,-0.5117,-0.1409,-0.0403,-0.266,1.354,-0.3847,-0.3494,-0.174,-0.8164,-0.5776,-0.2018,-0.224,0.0,0.0,-0.2092,0.0,-0.379,-0.3926,0.2957,-0.01131,-2.0,-0.5,-0.3333,0.43,-0.2485,-0.4749,-0.5,4.0,0.0,0.0,0.0,-0.01947,-0.127132,,,
