
2024-04-14 18:41:56,558 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:35,258 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:59,744 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:43:56,773 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:45:21,476 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:26,115 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:31,168 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:52:00,256 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:53:25,983 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:56:30,750 - ERROR - Empty DataFrame: No data to process.
2024-04-15 00:05:33,612 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 135.3125, End mean: 4.768249928951263
2024-04-15 00:05:35,357 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 143.66319444444446, End mean: 2.3713194413317575
2024-04-15 00:05:41,632 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 5.105528026819229, End mean: 0.06460624991450456
2024-04-15 00:05:41,651 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 17330.666666666668, End mean: 4.385333331425985
2024-04-15 00:05:47,134 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 287.24999809265137, End mean: 0.05612499965354795
2024-04-15 00:05:56,568 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 8.605454488234086, End mean: 0.1657878779100649
2024-04-15 00:05:58,232 - ERROR - Data is outdated. Last date in dataset: 2021-10-01 00:00:00
2024-04-15 00:05:59,655 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 28928.695652173912, End mean: 1.720434774523196
2024-04-15 00:06:01,039 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 15.249473672164115, End mean: 0.6333936797945123
2024-04-15 00:06:07,372 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 12.176712271285384, End mean: 0.011306849295554044
2024-04-15 00:06:07,399 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 81.52272727272727, End mean: 0.4350909075953744
2024-04-15 00:06:09,926 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 4.307142794132233, End mean: 0.045871429092117694
