Date,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
2003-07-22,3.86904765,-3.61152405,1.71204504,0.98392866,-0.47665196,9.0,145.0,False,True,1.0218582,0.94447725,-79.78947275,False,890.0,4.58057332,0.35934905,0.58678042,-3.79308633,-78.99264566,0.03572449,0.74636376,-0.01408847,-0.00560373,-0.04367634,18.27857154,18.1376667,0,1,18.54800005,0,1.22104118,50.86956825,-32.74956741,14795875.0,1.0,2.0,4.0,4.11681993,2.12363002,0.35663853,1.0,0.0,False,False,0.0,845720.16520397
2003-07-23,3.75369443,-3.31123324,1.64040598,0.91323931,-0.08314795,8.0,146.0,False,True,1.02139763,0.94632375,-79.78389683,False,891.0,3.1172338,0.29005335,0.55792131,-3.60462489,-79.02793246,0.00027589,0.73796232,0.03572449,-0.01408847,-0.00560373,18.12714304,18.18133335,0,1,18.55900002,0,1.22573222,42.40570097,-24.28070097,95828.91273499,2.0,3.0,4.0,3.90989905,2.15694367,0.35297352,2.0,0.0,False,False,0.0,5288.57109805
2003-07-24,3.74707205,-0.70335548,4.2193257,0.88501074,-0.78758504,7.0,147.0,False,True,0.99698566,0.92204422,-79.24851916,False,892.0,3.84305386,0.20418938,0.51885049,-0.95390562,-79.04866318,0.02648273,0.70697438,0.00027589,0.03572449,-0.01408847,18.08500017,18.24116669,0,1,18.60625,0,1.70498885,48.8083887,-30.20338916,15145809.55581665,3.0,4.0,5.0,0.94073258,4.06412307,0.49955781,3.0,0.0,False,False,0.0,835630.87204506
2003-07-25,3.49688612,1.39685805,5.87619467,0.78963565,-2.98599156,7.0,148.0,True,True,0.97946824,0.90953052,-78.89160071,False,893.0,4.04227914,0.14718617,0.47037213,1.42264811,-79.18768669,0.01719966,0.70411432,0.02648273,0.00027589,0.03572449,18.12285723,18.31216666,0,1,18.64174995,0,2.02456169,38.34670668,-19.42170744,5294138.95111084,4.0,4.0,5.0,-0.38259136,5.45524427,0.60056935,4.0,0.0,False,False,0.0,284554.64022411
2003-07-28,3.41606897,3.63214488,7.86850467,0.73178913,1.60022475,7.0,149.0,True,True,0.96121535,0.89289397,-78.46218254,False,894.0,1.73485759,0.1161368,0.4189644,3.7090691,-79.23246477,0.02034347,0.70246622,0.01719966,0.02648273,0.00027589,18.33214297,18.40599995,0,1,18.70699997,0,2.40879466,45.21450442,-25.90450495,8899511.29074097,5.0,5.0,6.0,-1.79288466,6.99146254,0.71460089,5.0,0.0,True,False,5.92430033,470251.60631516
2003-07-29,3.51054684,2.50787631,6.37778775,0.67659636,-0.30953296,7.0,150.0,True,True,0.97515134,0.9049404,-78.7354473,False,895.0,4.27485188,0.1158153,0.36206137,2.56519072,-79.26728108,-0.01268767,0.68444215,0.02034347,0.01719966,0.02648273,18.52071435,18.48016663,0,1,18.76175003,0,2.1632319,44.72253343,-25.65753289,-4459960.55603027,4.0,5.0,6.0,-0.36573688,5.35877213,0.61076557,0.0,1.0,False,False,0.0,-230966.37386741
2003-07-30,3.60586162,0.54237095,4.08710575,0.63238566,-0.78373297,7.0,151.0,True,True,0.99679241,0.92467518,-79.17601943,False,896.0,3.80288742,0.12590115,0.30320297,0.6209416,-79.30452624,-0.02071862,0.66244605,-0.01268767,0.02034347,0.01719966,18.68857138,18.53966662,0,1,18.79425001,0,1.76787175,45.46460009,-26.79460001,-5274125.1121521,3.0,5.0,6.0,1.91488317,3.37537705,0.45310941,0.0,2.0,False,False,0.0,-276639.12742779
2003-07-31,3.57905222,1.14499303,4.40852911,0.5791321,1.11108841,7.0,152.0,True,True,0.99356668,0.92198564,-79.09794379,False,897.0,1.94771442,0.14074019,0.24560957,1.1027996,-79.32593727,0.00374931,0.66230143,-0.02071862,-0.01268767,0.02034347,18.77714266,18.56949997,0,1,18.78774996,0,1.83738325,43.33332895,-24.59332918,1241892.58575439,3.0,6.0,6.0,1.5990398,3.5914163,0.48197566,1.0,0.0,False,False,0.0,66518.08145043
2003-08-01,3.60665368,-1.14333247,1.66210578,0.50944642,-1.99854972,6.0,152.0,False,True,1.01971722,0.94758415,-79.64447543,False,898.0,3.01369445,0.16033382,0.18908996,-1.1632076,-79.4049118,-0.02614727,0.67311298,0.00374931,-0.02071862,-0.01268767,18.7949998,18.5625,0,1,18.76374998,0,1.34702019,40.06375941,-21.81375941,-8289032.12814331,2.0,6.0,6.0,4.29822799,1.29080838,0.3091888,0.0,1.0,False,False,0.0,-442317.6216319
2003-08-04,3.58289373,1.32239022,4.06647407,0.48639648,-2.1566104,6.0,152.0,True,True,0.9967532,0.92509533,-79.1537115,False,899.0,4.41412916,0.17395104,0.16819929,1.41593449,-79.44476023,0.02410962,0.61354402,-0.02614727,0.00374931,-0.02071862,18.8071428,18.57800001,0,1,18.70124998,0,1.78656745,47.83951417,-29.14951363,8530818.35441589,2.0,7.0,7.0,2.05067939,3.65372473,0.4954162,1.0,0.0,False,False,0.0,467442.10161183
