Date,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
2000-09-21,4.52901529,-10.41237113,-5.14705481,3.3653125,0.19803312,5.0,145.0,False,False,1.09955367,1.00897337,-35.29411765,False,135.0,3.45224396,0.89017455,1.09932757,-9.43520842,-28.55293849,-0.03013393,3.80272555,-0.01321586,0.02367531,-0.0369164,56.99107143,61.00625,0,1,61.028125,0,12.7871001,27.80898876,26.50351124,-2377181.25,1.0,1.0,3.0,13.11889204,-5.20528666,0.05849923,0.0,2.0,False,False,0.0,-42449.66517857
2000-09-22,4.25242131,-1.65934965,2.87875238,2.64647321,-0.84063672,4.0,145.0,False,True,1.01454222,0.9294938,-29.70960536,False,136.0,6.75144770482264,1.29657687,1.2326717,0.20345846,-29.85232674,0.07473283058064771,3.8283952,-0.03013393,-0.01321586,0.02367531,56.89285714,61.03541667,0,1,60.953125,0,17.44387999,31.09919571,27.90080429,4844062.5,2.0,2.0,3.0,5.00181732,4.11650081,0.37245798,1.0,0.0,False,False,0.0,89188.72266974
2000-09-25,4.50277094,-2.18340611,0.98976499,1.86308036,0.31582039,3.0,145.0,False,True,1.03522706,0.94517164,-30.90096798,False,137.0,4.95689655,1.66042914,1.4336906,-0.57923136,-30.49839288,-0.01694915,3.85651363,0.07473853955966776,-0.03013393,-0.01321586,56.72321429,60.90208333,0,1,60.7125,0,16.42904484,29.82005141,28.17994859,-459500.0,2.0,2.0,3.0,6.02072179,2.08604214,0.32416113,0.0,1.0,False,False,0.0,-7788.13559322
2000-09-26,4.14121853,1.56592783,4.23913043,1.51339286,-1.71719495,3.0,145.0,True,True,1.00074482,0.91792045,-28.5927029,False,138.0,2.29405631,1.93511456,1.63273384,3.06447599,-30.71589759,0.03340517,3.84263195,-0.01694915,0.07473987101552655,-0.03013393,57.0625,60.7875,0,1,60.596875,0,18.34497312,41.17647059,18.76102941,1239031.25,2.0,3.0,4.0,2.85246676,5.25694208,0.45710134,1.0,0.0,False,False,0.0,21362.60775862
2000-09-27,4.01512947,4.47602401,6.66840464,1.20741071,1.85838461,3.0,145.0,True,True,0.97763602,0.89733343,-26.88011914,False,139.0,1.83299389,2.13694148,1.81830227,5.79399739,-30.88466013,0.02398332,3.84525938,0.03340517,-0.01694915,0.07474503577274082,57.91071429,60.79583333,0,1,60.6125,0,19.76739835,41.66666667,19.70833333,585062.5,3.0,4.0,4.0,0.70787866,7.07059541,0.54957403,2.0,0.0,True,False,4.2462845,9761.20959333
2000-09-28,3.99097447,7.77414697,9.93721749,1.15584821,0.73684211,3.0,145.0,True,True,0.94951981,0.86970032,-24.57185406,False,140.0,5.23198421,2.26704939,1.98129586,9.23509628,-30.94879896,0.03156823,3.89200825,0.02398332,0.03340517,-0.01694915,58.84821429,60.82708333,0,1,60.728125,0,21.69243761,50.0,13.3125,630268.75,4.0,5.0,5.0,-1.77744703,9.34066368,0.66600524,3.0,0.0,False,False,0.0,10269.14460285
2000-09-29,4.04326365,4.68085106,6.68979725,1.10625,-0.39789522,4.0,145.0,True,True,0.97772938,0.89686411,-26.73119881,False,141.0,2.74390244,2.32765447,2.12235552,6.1640923,-30.98532695,-0.02862784,3.81185284,0.03156823,0.02398332,0.03340517,59.63392857,60.78958333,0,1,60.59375,0,19.87096159,50.13850416,11.36149584,-430831.25,3.0,5.0,5.0,1.53411805,6.55687632,0.55943632,0.0,1.0,False,False,0.0,-6804.83711747
2000-10-02,3.98420675,5.62632696,7.77145952,1.171875,0.20198803,5.0,145.0,True,True,0.96773151,0.88804738,-25.91213701,False,142.0,2.31155779,2.29757378,2.2265183,7.11606849,-30.83403449,0.01117886,3.44063852,-0.02862784,0.03156823,0.02398332,60.75892857,60.80833333,0,1,60.3125,0,20.54578272,53.93258427,8.25491573,224400.0,4.0,6.0,6.0,0.74185699,7.23649631,0.63623925,1.0,0.0,False,False,0.0,3648.7804878
2000-10-03,4.3667467,1.08456579,3.04257,1.11848214,-0.80723378,6.0,145.0,True,True,1.01414016,0.92680522,-29.11392405,False,143.0,5.88235294,2.15894802,2.27692089,1.90344741,-30.43800014,-0.04321608,2.95472101,0.01117886,-0.02862784,0.03156823,60.83035714,60.79166667,0,1,59.896875,0,17.81632105,49.6124031,9.8875969,-3212368.75,3.0,5.0,6.0,5.60944564,3.57769075,0.46642026,0.0,1.0,False,False,0.0,-51656.18090452
2000-10-04,4.48120301,0.8492569,2.7626939,1.09625,-0.21696138,7.0,145.0,True,True,1.01792782,0.92830376,-29.26284438,False,144.0,6.63157895,1.92991098,2.30459716,1.72450769,-30.46203199,-0.00210084,2.80330184,-0.04321608,0.01117886,-0.02862784,61.02678571,60.79583333,0,1,59.671875,0,17.66597783,50.39370079,8.98129921,-99937.5,2.0,5.0,6.0,5.4232793,3.20020249,0.47352452,0.0,2.0,False,False,0.0,-1679.62184874
