Date,Open,High,Low,Close,Volume,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,Pct_Deviation_Upper,Pct_Deviation_Lower,200MA,Upper_Band,Lower_Band,Breakout_Score,ATR%,ATR%_change,ATR_std,Volume_std,ATR_trigger,Volume_trigger,Oscillator,Trigger_Counter,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2023-10-27,2023-10-27,12.63000011,12.71000004,12.18500042,12.28999996,1781900.0,-1.9044800128514932,-1.920195822757508,-1.8885360065427774,0.4404739323087494,-0.4626774457288641,0.3425849958893407,-2.349965645109719,-1.888342964355918,1.3378149747153196,-0.23756312095156712,-0.17899633394725276,-0.2916030197073456,0.7766171883247085,0.7526474838318953,0.22729873106060033,1.0085469316360098,True,False,0.9611483405662348,True,False,0.0942686223157004,0.034010351725923434,0.07246603993309034,-1.2797818504507557,-2.028994831659548,True,False,-0.6279335390247847,2.0,41.0,False,True,False,1.71903579,1.6136656,-1.3214126746260246,False,0.023578232354307862,0.009618278333916352,0.73143499,0.96983778,0.05530085381792725,-1.223743569647017,-0.1958543387203446,-0.02999212,-0.5503870492019707,0.06649831,0.02897278,-0.00861322,-0.02122451,11.86714295,13.51333335,0,2.220446049250313e-16,-1.300976550626414,0,-4.59325714,0.4746185288352347,0.14036663015818718,0.17468434779928546,0.014956396450303971,0.008899163577503312,-1.0425552377854204,3.0,5.0,7.0,False,False,0.5520011062629671,-0.3440076969699239
2023-10-30,2023-10-30,12.52000046,13.26000023,12.44999981,13.05000019,1590600.0,-1.8961504867555339,-1.910653756042207,-1.8814173727519878,-0.12822511580337853,0.11876805830167034,0.3352977184362261,-2.354305690527188,-1.5672533245326121,1.1938874240681936,-0.3135655779634705,-0.2982444119366638,-0.31433257888299915,0.8132067844352395,0.5952719285929954,-0.4518823337578667,1.004070707222486,True,False,0.9494337594220585,True,False,0.0953160514525415,0.034388244522878135,0.7344175447304205,-1.1451559207587707,-2.0101250083731967,True,False,4.212173982302535,3.0,40.0,False,True,False,1.61520029,1.512792,-1.1841187273467801,False,0.023578232354307862,0.7831461051143487,0.70574098,0.92130833,0.7564998548484551,-1.2251390011305312,-0.3943120179763104,0.06183891,-0.635673013533633,-0.02999212,0.01365186,-0.01042571,0.02085071,12.07285731,13.37966671,0,2.220446049250313e-16,-1.3056676537250225,0,-3.82603581,0.5513388814777751,0.13882413971688845,0.1766252849970553,0.014792040445355578,0.008998043172808905,1.7190022450467437,4.0,5.0,7.0,False,False,0.0010125698590052437,0.24066550752369845
2023-10-31,2023-10-31,13.02999973,14.21000004,12.94999981,14.07999992,1866900.0,-1.8564239236602507,-1.8667275707935937,-1.8458862483388114,-0.7369510821509269,0.752326847501284,0.9514341408567335,-2.3586457359446564,-1.1948685526960179,0.9982007798237542,-0.3728593269686587,-0.40362677728131324,-0.31800553408642224,0.7963663696964878,0.38068573936339506,-0.6371206541239407,0.9621375879518529,True,False,0.9417320890839063,True,False,0.09636348058938263,0.03476613731983284,1.5986450149398461,-0.9621520376462631,-1.981488522378796,True,False,1.0940002053821605,4.0,39.0,False,True,False,1.49442471,1.39605826,-0.9969924949188912,False,0.023578232354307862,1.879714282103583,0.65839219,0.87474806,1.6469867749312288,-1.2165085074473303,-0.43417571604606325,0.07892718,-0.38843316436614256,0.06183891,0.06649831,0.02897278,0.00980391,12.44000013,13.28000005,0,2.220446049250313e-16,-1.2930387966372572,0,-2.78935817,0.6055019655543119,0.1372816492755897,0.1785662221948251,0.014627684440407181,0.009096922768114496,2.761883147026336,4.0,5.0,7.0,False,False,-0.6118291990452052,0.8531412978862701
2023-11-01,2023-11-01,14.17000008,14.35999966,13.81000042,13.92000008,3638300.0,-1.8256129055197636,-1.8338987096245263,-1.8170926898024382,-0.5521816045936889,0.574039132947491,0.944146863403619,0.0010854050834471277,-1.2344978410884484,1.033156417449604,-0.4353308223198537,-0.5206370181594937,-0.31506745634074457,0.5392325524297834,0.15740421567361965,-0.6910068630042829,0.9283863409164216,True,False,0.9521721184617647,True,False,0.09741090972622374,0.03514403011678755,1.3256396388533507,-0.9917356564774001,-1.9356141457573854,True,False,-0.13073204017196466,5.0,38.0,False,True,False,1.50442937,1.41026889,-1.029497771630641,False,0.023578232354307862,-0.12255594766965353,0.58889799,0.820786,1.2833472672837312,-1.18227535129552,0.12265835251708762,-0.01136363,-0.23378315189062424,0.07892718,-0.02999212,0.01365186,-0.03802584,12.80142866,13.2003334,0,2.220446049250313e-16,-1.277477449112671,0,-2.9375988,0.7118878057420681,0.13573915883429089,0.18050715939259498,0.014463328435458785,0.009195802363420089,-0.9161423496058152,3.0,5.0,7.0,False,False,-0.44254713169976706,0.6635179719473325
2023-11-02,2023-11-02,14.03999996,14.94499969,14.03999996,14.77999973,2321300.0,-1.7708777245371927,-1.7731667388259122,-1.768348036991363,-0.9603005290393782,1.0093998266467485,0.9368595859505043,-0.003254640334021797,-0.9576690087921849,0.8706642941403888,-0.48406634143973143,-0.6213789470598103,-0.3020067514030392,0.6819308870941945,0.14319190216839242,-0.04006279118309923,0.8790572653937374,True,False,0.9424171902580974,True,False,0.09845833886306486,0.03552192291374225,1.8820750041595224,-0.8383776590390954,-1.8662070887701652,True,False,0.4163000118182051,6.0,37.0,False,True,False,1.41571236,1.32181136,-0.8737474942950256,False,0.023578232354307862,0.7458052337439092,0.50739196,0.77235994,1.8685515110013617,-1.1522253728623024,0.5401763092015719,0.06178158,0.0652837191191475,-0.01136363,0.06183891,0.06649831,-0.02354926,13.23857144,13.15100005,0,2.220446049250313e-16,-1.2602665882033282,0,-2.07161873,0.8165225516467585,1.0,0.18244809659036482,0.014298972430510388,0.009294681958725681,2.860942364695255,3.0,6.0,8.0,False,False,-0.8230218707420818,1.1173764004755904
2023-11-03,2023-11-03,14.92000008,15.84000015,14.43000031,14.80000019,1733400.0,-1.720842063057869,-1.7178269273732822,-1.7236112182400636,-0.8509300424471972,0.919847173946663,0.9295723084973901,-0.007594685751490449,-0.9420297112348444,0.8706894209008881,-0.536184600974788,-0.722632418065261,-0.2954174569704198,0.3947697745575255,0.4504840620885079,1.0117155243860922,0.801727672593505,True,False,0.9283381385951315,True,False,0.09950576799990596,0.035899815710696954,1.705926525199116,-0.8357635823457629,-1.8015446214523383,True,False,-0.07383501215949899,7.0,36.0,False,True,False,1.41287207,1.31316168,-0.8730311304383627,False,0.023578232354307862,2.1073958910905644,0.42443907,0.71909311,1.713487759011305,-1.1252981407181801,0.8998633785930948,0.00135321,0.30419483120109686,0.06178158,0.07892718,-0.02999212,-0.00861322,13.65571431,13.11233339,0,2.220446049250313e-16,-1.2421393250634292,0,-2.04802738,0.800086723549627,0.9984575095587012,0.18438903378813465,0.014134616425561995,0.009393561554031274,-0.020188055358063027,4.0,7.0,8.0,False,False,-0.7366521617158692,1.0065100223022851
2023-11-06,2023-11-06,14.82999992,14.82999992,14.09000015,14.39999962,1029700.0,-1.6882309913399722,-1.6834722539516818,-1.6927442485264836,-0.5207445079082789,0.5947067490865025,0.9222850310442755,-0.011934731168959373,-1.050150995365863,0.9519342180040273,-0.5950683413401879,-0.8283577329235604,-0.29784501075332803,0.5635580133552319,0.5914917970463045,0.4402057294916945,0.794018412385579,True,False,0.914432731280648,True,False,0.10055319713674708,0.03627770850765166,1.2092844935142995,-0.9088118074868093,-1.7477472857627796,True,False,-0.267085382368305,8.0,35.0,False,True,False,1.44783633,1.34545541,-0.9498319872782883,False,0.023578232354307862,0.3491922603509354,0.34200548,0.66329814,1.2747820469695061,-1.1125239871725396,1.2875895334398375,-0.02702707,0.4311232907194931,0.00135321,-0.01136363,0.06183891,-0.01042571,13.9028571,13.06866671,0,2.220446049250313e-16,-1.225295024313189,0,-2.4452217,0.7239938426289346,0.13111168751039462,0.18632997098590448,0.013970260420613601,0.009492441149336867,-0.6793694661898336,3.0,7.0,7.0,False,False,-0.41857831201284207,0.6776808056099795
2023-11-07,2023-11-07,14.55000019,14.73999977,14.28999996,14.61999989,839100.0,-1.6519397164141438,-1.64661881880198,-1.6570188786222302,-0.5759617363743476,0.651251877711529,0.9149977535911609,-0.0162747765864283,-0.9741815996961343,0.91250744922717,-0.650466834005119,-0.9295498992390487,-0.2981655524151087,0.4734978448609466,0.4162335322767702,-0.5208287149754401,0.7905624877484088,True,False,0.9018483141988105,True,False,0.10160062627358821,0.036655601304606364,1.205187639840288,-0.869697652232274,-1.6786727490806352,True,False,-0.0020089336450579893,9.0,34.0,False,True,False,1.42111735,1.32203589,-0.9122027868026084,False,0.023578232354307862,-0.4772302180710844,0.30426736,0.61196003,1.2579232684094936,-1.077461344929823,1.2564878006766547,0.0152778,0.5686515931045826,-0.02702707,0.06178158,0.07892718,0.02897278,14.23571423,13.0306667,0,2.220446049250313e-16,-1.2078092359533168,0,-2.22304383,0.8144812988265875,0.9953725286761037,0.1882709081836743,0.013805904415665204,0.009591320744642457,0.1910945872507699,3.0,7.0,8.0,False,False,-0.4832934564844873,0.7225425525997395
2023-11-08,2023-11-08,14.68999958,14.68999958,13.93999958,14.10000038,736700.0,-1.6355276120428304,-1.6301645332940384,-1.6406511374138075,-0.1909552103210261,0.2647233535671298,0.9077104761380463,-0.02061482200389695,-1.124902148458679,1.0139106931206423,-0.7189862386880526,-1.0054936773597243,-0.3545893076569916,0.6328491638323953,0.8025701620805084,1.203270760784643,0.7819608999242166,True,False,0.898469469265909,True,False,0.1026480554104293,0.03703349410156107,0.5970605961099948,-0.9644720383319446,-1.6130471402017683,True,False,-0.46699342729088256,10.0,33.0,False,True,False,1.47069498,1.36431204,-1.0111511692146422,False,0.023578232354307862,0.4188298253695299,0.35684636,0.56586785,0.6336257867898826,-1.046706924246043,1.3647034021040225,-0.03556768,0.6233170714686165,0.0152778,0.00135321,-0.01136363,0.01365186,14.38571426,12.99633338,0,2.220446049250313e-16,-1.1995790952763747,0,-2.74087964,0.7715945905921398,0.9938300382348049,0.19021184538144414,0.013641548410716811,0.00969020033994805,-0.6457379659444933,3.0,6.0,8.0,False,False,-0.06811771304515857,0.3789845904038935
2023-11-09,2023-11-09,14.23999977,14.23999977,13.38000011,13.47999954,727600.0,-1.640237800452823,-1.6363379783806211,-1.6439007962177363,0.24698533235556566,-0.18090681586313465,0.9004231986849317,-0.024954867421365875,-1.3219900349564313,1.1336746373709694,-0.7952962380573354,-1.0703709168568112,-0.4398564264172156,0.7262874071693253,1.2690416657172037,1.352104147407852,0.7705540093406984,True,False,0.8909452071665115,True,False,0.10369548454727044,0.03741138689851578,-0.046797099368447045,-1.0776522283230732,-1.5581261559450457,True,False,-0.9009775541378686,11.0,32.0,False,True,False,1.53514681,1.41994973,-1.1285562341607311,False,0.023578232354307862,0.8422363028122054,0.45014143,0.5424237,-0.14844306488112322,-0.9971634030444329,0.8613249219707514,-0.04397169,0.6145001789086627,-0.03556768,-0.02702707,0.06178158,0.06649831,14.29999992,12.92466669,0,2.220446049250313e-16,-1.1888746771910952,0,-3.35830079,0.691677248223461,0.12648421618649833,0.192152782579214,0.013477192405768414,0.009789079935253643,-0.7498051381872021,2.0,5.0,8.0,False,False,0.41439508896099936,-0.006871745324525764
2023-11-10,2023-11-10,13.60999966,13.72999954,13.18999958,13.55000019,846800.0,-1.6424178730327192,-1.6417631993586919,-1.6428429164535863,0.19224056155050334,-0.1403574139949935,0.8931359212318172,0.09878461545271669,-1.291002476801604,1.1168397727676915,-0.8807293653176078,-1.1348860362159094,-0.5445596862158323,0.50927219907066,1.357131217083198,0.23914242335680147,0.7587854583047604,True,False,0.8843585332574381,True,False,0.10474291368411155,0.03778927969547048,-0.12236953686747624,-1.064210188042338,-1.4974194519351822,True,False,-0.8017720110956293,12.0,31.0,False,True,False,1.52289558,1.40602688,-1.1186116167553113,False,0.023578232354307862,-0.11778065174985372,0.53420562,0.54371352,-0.24816833464395308,-0.9661025033353675,1.2595657585065863,0.00519293,0.5839328069591698,-0.04397169,0.0152778,0.00135321,-0.02999212,14.24714279,12.89233335,0,2.220446049250313e-16,-1.1751461304620194,0,-3.28510262,0.7112997656733028,0.12494172574519957,0.19409371977698384,0.013312836400820018,0.009887959530559235,-0.005600625988190329,2.0,6.0,9.0,False,False,0.3444337657727472,0.01570927886659524
2023-11-13,2023-11-13,13.38000011,13.89000034,13.14000034,13.85999966,1900200.0,-1.6347816246769382,-1.6370346915874847,-1.6323067072910267,-0.011806232479801702,0.05181237172333399,0.8858486437787025,0.09444457003524777,-1.1827591099331118,1.0521288600072893,-0.9610371283124668,-1.1891028877015235,-0.6502989778943465,0.559524578593774,1.3956496794541249,0.10509301256506176,0.7487309691630448,True,False,0.8724639006625611,True,False,0.10579034282095266,0.03816717249242518,-0.0006851066229087686,-1.006649252836777,-1.4379740097000133,True,False,6.0482234620638495,13.0,30.0,False,True,False,1.48535716,1.36775257,-1.0643717716993994,False,0.023578232354307862,0.4519037997970403,0.59787201,0.56356246,-0.07610390839399822,-0.9508904287216619,0.6983572585274973,0.02287819,0.5783675988242268,0.00519293,-0.03556768,-0.02702707,0.06183891,14.11571421,12.90433334,0,2.220446049250313e-16,-1.1608677489926937,0,-2.96824954,0.7077906676041525,0.12339923530390082,0.19603465697475367,0.013148480395871624,0.009986839125864828,0.7670477793861331,3.0,6.0,9.0,False,False,0.15564442932030764,0.21835953648090234
2023-11-14,2023-11-14,14.68999958,15.00500011,14.52999973,14.69999981,1617700.0,-1.6016413400723244,-1.60648826686507,-1.596583162847726,-0.4992220752004401,0.5307763966112277,0.8785613663255883,0.09010452461777912,-0.9245919496969296,0.8823576077183041,-1.0219710143840364,-1.2215526312238916,-0.7404191522174909,0.6564156863385155,1.2528259815749558,-0.36974154361709344,0.7432928670462482,True,False,0.8588487069875765,True,False,0.10683777195779377,0.03854506528937989,0.5017762752613969,-0.8517918468159276,-1.365968777856427,True,False,3.4139068686420835,14.0,29.0,False,True,False,1.39828183,1.28336446,-0.9123126904143886,False,0.023578232354307862,-0.4221830868609801,0.64851029,0.60459686,0.46879410481266054,-0.9243930313835615,-0.13885683525890974,0.06060607,0.6431105882530114,0.02287819,-0.04397169,0.0152778,0.07892718,14.10142844,12.97299999,0,2.220446049250313e-16,-1.1399912809939272,0,-2.12446385,0.7486857274561001,0.9876600764696098,0.1979755941725235,0.012984124390923227,0.010085718721170419,1.8916985754451707,3.0,6.0,9.0,True,False,-0.3304177368768546,0.6850774246660573
