ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
0.8794,0.3022,0.387,0.0,1.046,0.125,-1.465,1.0,0.0,-0.3416,-0.3777,0.689,0.0,-0.4355,1.985e-05,-0.03497,-0.2937,0.4226,0.6035,0.748,-0.2081,-0.4756,-0.702,0.626,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.444,0.6094,-1.132,0.4915,-1.0,0.0,0.3333,-0.05368,0.586,0.2405,0.0,0.0,0.0,0.0,0.0,1.19
0.939,0.2058,0.387,0.0,-0.1249,0.25,-1.465,1.0,0.0,-0.3416,-0.3777,0.7056,0.0,-0.4329,0.1564,-0.03497,-0.2937,0.3535,0.6367,0.0905,-0.2122,0.748,-0.4753,-0.702,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.4421,0.59,-1.132,0.017,0.0,0.0,0.3333,-0.09033,0.5576,0.2283,0.5,0.0,0.0,0.0,0.0,0.1088
0.8413,0.01013,0.387,0.0,-0.56,0.375,-1.465,1.0,0.0,-0.3416,-0.3777,0.6924,0.0,-0.4302,-0.2996,-0.03497,-0.2937,0.1354,0.6753,-0.2076,-0.2244,0.09076,0.7476,-0.475,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.4458,0.487,-1.114,-0.1262,-1.0,0.0,0.0,-0.057,0.3904,0.1647,-0.5,1.0,0.0,0.0,0.0,-0.2124
0.694,-0.1171,0.387,0.0,-0.938,0.5,-1.465,1.0,0.0,-0.3416,-0.3777,0.682,0.0,-0.4275,-0.5967,-0.03497,-0.2937,-0.04623,0.7095,-0.1747,-0.283,-0.2073,0.0907,0.7476,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.4482,0.2937,-1.0205,-0.0982,-1.0,-0.5,-0.3333,-0.0425,0.2482,0.1098,-0.5,2.0,0.0,0.0,0.0,-0.1498
0.8984,-0.641,0.387,0.0,-18.0,0.5,-1.465,0.0,0.0,-0.3416,-0.3777,0.562,0.0,-0.4248,2.592,-0.03497,-0.2937,-0.586,0.717,-1.2705,-0.3542,-0.1744,-0.2072,0.0907,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.4705,-0.1415,-0.8203,-0.894,-1.0,-0.5,-0.6665,0.3994,-0.2325,-0.1783,-0.5,3.0,0.0,0.0,0.0,-1.938
0.753,-0.7104,0.387,0.0,0.3137,0.5,-1.465,0.0,0.0,-0.3416,-0.3777,0.5337,0.0,-0.422,-0.1721,-0.03497,-0.2937,-0.6577,0.7046,-0.363,-0.4333,-1.27,-0.1743,-0.207,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.476,-0.4749,-0.6597,-0.3347,-2.0,-1.0,-1.0,0.433,-0.3813,-0.295,-0.5,4.0,0.0,0.0,0.0,-0.694
0.5786,-0.973,0.387,0.0,0.7056,0.375,-1.465,0.0,0.0,-0.3416,-0.3777,0.4668,0.0,-0.4194,-0.538,-0.0724,-0.2937,-0.9434,0.7056,-0.7554,-0.537,-0.3628,-1.269,-0.1742,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.488,-0.335,-0.736,-0.3416,-3.0,-1.0,-1.0,0.58,-0.6875,-0.5586,-0.5,5.0,0.0,0.0,0.0,-0.7124
0.4434,-1.168,0.387,0.0,0.4304,0.25,-1.465,0.0,0.0,-0.3416,-0.3777,0.3948,0.0,-0.4167,0.126,-0.1356,-0.2937,-1.162,0.6836,-0.815,-0.6265,-0.755,-0.3625,-1.269,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.5005,-1.113,-0.3618,-0.4358,-3.0,-1.5,-1.333,0.81,-0.9097,-0.9106,-0.5,5.0,0.0,0.0,0.0,-0.939
0.2466,-1.167,0.387,0.0,0.146,0.125,-1.465,0.0,0.0,-0.3416,-0.3777,0.3699,0.0,-0.414,-0.5454,-0.2141,-0.2937,-1.167,0.658,-0.3364,-0.6743,-0.8145,-0.7544,-0.3623,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.505,-1.073,-0.384,-0.1434,-3.0,-1.5,-1.333,0.84,-0.9365,-1.1045,-0.5,5.0,0.0,0.0,0.0,-0.261
0.2703,-0.1559,0.387,0.0,-1.053,0.0,-1.465,0.0,0.0,-0.3416,-0.3777,0.587,0.0,-0.4114,2.457,-0.3013,-0.2937,-0.1768,0.6426,2.197,-0.7056,-0.336,-0.814,-0.7544,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.467,-0.4897,-0.6465,1.1,-2.0,-1.0,-1.333,0.02448,0.000768,-0.3203,0.0,0.0,0.0,0.0,0.0,2.682
0.2146,0.5522,0.387,0.0,-18.0,0.0,-1.465,1.0,0.0,-0.3416,-0.3777,0.756,0.0,-0.409,0.4385,-0.4004,-0.2937,0.5015,0.653,1.627,-0.6953,2.197,-0.3357,-0.8135,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.4392,0.07996,-0.907,1.522,-1.0,-1.0,-1.0,-0.495,0.625,0.3171,0.5,0.0,1.0,0.0,4.367,3.547
0.1738,0.9536,0.387,0.0,0.864,0.0,-1.465,1.0,0.0,-0.3416,-0.3777,0.7925,1.0,-0.4543,1.168,-0.497,-0.2937,0.894,0.5977,0.9253,-0.661,1.627,2.195,-0.3357,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.4226,0.1322,-0.9214,0.5376,0.0,-1.0,-1.0,-0.7446,0.912,0.631,1.0,0.0,0.0,0.0,0.0,1.263
0.3206,1.17,0.387,0.0,0.3904,0.0,-1.465,1.0,0.0,-0.3416,-0.3777,0.7925,1.0,-0.4543,1.803,-0.5737,-0.3416,1.13,0.5435,0.6025,-0.611,0.9253,1.626,2.195,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.4119,0.3777,-1.034,0.3423,1.0,-0.5,-0.6665,-0.8623,1.056,0.724,1.5,0.0,0.0,0.0,0.0,0.8154
0.3477,1.18,0.387,0.0,0.1556,0.0,-1.465,1.0,0.0,-0.3416,-0.3777,0.7925,1.0,-0.4543,0.2883,-0.627,-0.391,1.151,0.5386,0.1962,-0.5654,0.603,0.925,1.625,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.4084,0.5117,-1.097,0.0875,2.0,0.0,-0.3333,-0.8677,1.009,0.7134,2.0,0.0,0.0,0.0,0.0,0.2551
0.3777,0.877,0.387,0.0,-0.1364,0.0,-1.465,1.0,0.0,-0.3416,-0.3777,0.7407,0.0,-0.4517,0.01466,-0.658,-0.4412,0.881,0.549,-0.584,-0.535,0.1964,0.6025,0.9243,-0.866,-0.8755,0.0,0.0,-0.893,0.0,-0.4187,0.27,-0.9844,-0.2267,1.0,0.0,-0.6665,-0.573,0.7354,0.4875,-0.5,1.0,0.0,0.0,0.0,-0.4226
