Ticker,Cluster,mean_intragroup_correlation,diff_to_mean_group_corr,correlation_0,correlation_1,correlation_2,correlation_3,correlation_4,correlation_5,correlation_6,correlation_7
TCI,6,0.01212,-0.00624,0.12578,0.00026,0.09278,-0.00188,0.0635,0.04368,0.00588,0.12184
MED,4,0.1117,0.05005,0.27988,0.0033,0.22992,-0.00721,0.16175,0.10237,0.01469,0.28859
NWN,2,0.16715,0.12783,0.39565,-0.01195,0.29498,-0.01028,0.18298,0.15852,0.0215,0.35187
RYAN,6,0.01212,-0.01113,0.01174,0.01825,0.01528,0.00041,0.00719,-0.03272,0.00099,0.02499
PX,6,0.01212,-0.00448,0.02468,0.00105,0.02044,-0.00129,0.01673,0.01264,0.00765,0.02308
FLNG,3,-0.00439,0.00405,0.0097,0.00412,0.00301,-0.00034,0.00231,-0.02741,0.00033,0.00704
FRPH,2,0.16715,0.10987,0.39416,-0.00603,0.27702,-0.00684,0.18652,0.10184,0.01799,0.34236
TPB,6,0.01212,-0.00823,0.03006,-0.00199,0.01953,-0.00213,0.01156,0.02081,0.00389,0.02427
NPFD,3,-0.00439,0.00505,0.00875,0.0023,-0.00735,0.00066,-0.00338,-0.00808,-0.00167,-0.00546
FANH,4,0.1117,-0.0192,0.1482,-0.0006,0.12689,-0.00367,0.0925,0.06352,0.00842,0.1617
DBI,2,0.16715,0.10801,0.36711,0.00131,0.27516,-0.00715,0.17903,0.11465,0.01895,0.35989
PRGO,4,0.1117,0.0566,0.29163,-0.01668,0.23512,-0.00772,0.1683,0.10136,0.01806,0.29444
AEM,5,0.11046,0.19477,0.05387,0.0044,0.10387,-0.00362,0.07389,0.30523,0.01194,0.12334
FC,2,0.16715,0.13404,0.41328,-0.00432,0.30119,-0.00775,0.19855,0.12408,0.02039,0.38249
FULT,0,0.21347,0.43389,0.64735,-0.01009,0.37229,-0.01002,0.24381,0.07745,0.02748,0.48655
CIB,2,0.16715,0.12523,0.34151,-0.00018,0.29239,-0.00945,0.18986,0.20854,0.02272,0.38158
RVT,7,0.21639,0.40671,0.59298,-0.00097,0.47968,-0.01323,0.32571,0.25458,0.03612,0.6231
NWFL,4,0.1117,0.01401,0.2739,0.00884,0.17819,-0.00268,0.12572,0.08649,0.00779,0.23071
NXE,6,0.01212,-0.00623,0.00975,-0.00354,0.00339,0.00124,0.00025,-0.01115,0.00589,0.0067
BDN,7,0.21639,0.27118,0.49409,0.00318,0.36901,-0.01098,0.23674,0.2078,0.02874,0.48757
NTLA,3,-0.00439,0.00553,-0.00437,0.02293,0.00045,0.00115,0.00447,0.00491,-0.0002,0.00229
DIOD,7,0.21639,0.22648,0.41637,-0.0,0.34086,-0.00875,0.23405,0.14001,0.02644,0.44287
POWL,2,0.16715,0.10199,0.38017,-0.0053,0.26914,-0.00774,0.17772,0.11631,0.02122,0.34839
UMC,4,0.1117,0.04854,0.24837,-0.00223,0.22889,-0.00794,0.16024,0.10446,0.02004,0.30074
KMI,3,-0.00439,0.00407,-0.01629,-0.00042,-0.00597,-0.00032,-0.00015,0.0042,0.00025,-0.01308
HPF,7,0.21639,0.20699,0.3302,0.00773,0.32061,-0.00838,0.20396,0.37174,0.02235,0.42338
SEDG,6,0.01212,-0.00756,0.01639,0.0005,0.01483,-0.00107,0.01125,0.00078,0.00456,0.0216
UTZ,6,0.01212,-0.01168,0.02977,-0.0047,0.01096,-0.00038,0.0102,-0.02237,0.00044,0.00969
STEM,3,-0.00439,0.00604,-0.00708,0.00027,-0.00708,0.00165,-0.00619,-0.00342,-0.0033,-0.00648
WOW,6,0.01212,-0.00907,0.00935,0.01466,0.00535,-0.00049,0.00499,0.00293,0.00305,0.00791
TDS,4,0.1117,0.04186,0.29607,-0.00281,0.22268,-0.01005,0.15356,0.08352,0.02099,0.2772
WERN,2,0.16715,0.12914,0.39146,0.0066,0.29629,-0.00956,0.19372,0.09319,0.02205,0.37964
DVAX,4,0.1117,0.01007,0.15948,0.02217,0.14725,-0.00566,0.12177,0.07144,0.01268,0.17772
MLR,2,0.16715,0.13301,0.44584,-0.00132,0.30017,-0.00892,0.20258,0.09864,0.02014,0.38185
FOXA,6,0.01212,-0.01027,0.0215,0.00925,0.00932,0.00071,0.00426,0.02244,0.00186,0.01787
CSGP,2,0.16715,0.1424,0.35381,0.00443,0.30955,-0.00898,0.21094,0.13125,0.02464,0.39531
RBC,7,0.21639,0.28028,0.51825,-0.00539,0.37804,-0.01088,0.24683,0.17573,0.02718,0.49667
SYM,3,-0.00439,0.00608,-0.05496,0.00236,-0.03459,0.0017,-0.02274,0.00139,-0.00514,-0.04187
SHOO,7,0.21639,0.21866,0.45096,-0.01435,0.33716,-0.00891,0.22003,0.1112,0.02343,0.43505
LUNG,3,-0.00439,0.0051,-0.00542,0.01196,-0.00116,0.00071,-0.00237,0.00107,0.00102,6e-05
CDRO,3,-0.00439,0.00662,-0.01345,-0.00716,-0.01413,0.00223,-0.00711,-0.00729,-0.00178,-0.01541
BHF,6,0.01212,-0.01089,0.01155,0.00402,0.00834,-0.00074,0.00504,0.00745,0.00123,0.01067
AVGO,2,0.16715,0.15116,0.3449,-0.00071,0.31831,-0.00767,0.2151,0.15263,0.02164,0.41536
BALL,2,0.16715,0.13223,0.34411,-0.01451,0.29938,-0.01015,0.19485,0.15643,0.02375,0.38549
NWSA,3,-0.00439,0.00468,-0.00428,-0.02298,-0.00309,0.00029,-0.00383,0.00586,-0.00122,-0.00449
TSLX,6,0.01212,-0.00896,0.00922,0.00157,0.0054,-0.0008,0.00362,-0.00445,0.00317,0.0052
RNAC,3,-0.00439,0.00418,0.00218,-0.00162,0.00257,-0.00021,0.00023,-0.01895,0.00057,0.00165
XMTR,3,-0.00439,0.0033,-0.05714,-0.05266,-0.06284,-0.00109,-0.03819,-0.04536,0.00053,-0.08171
GOTU,6,0.01212,-0.01216,0.02628,-0.00443,0.01085,-0.00102,0.00879,-0.03114,-3e-05,0.01248
CMP,2,0.16715,0.14545,0.41241,0.01595,0.3126,-0.00885,0.21206,0.14807,0.02264,0.40526
OLP,7,0.21639,0.2268,0.45441,0.00335,0.34305,-0.00845,0.22082,0.2136,0.02268,0.44319
WLKP,6,0.01212,-0.01143,0.01124,-0.00225,0.01387,-0.00051,0.0096,0.00813,0.00069,0.02073
LMT,2,0.16715,0.11254,0.34512,0.00576,0.27969,-0.00889,0.17654,0.11226,0.02199,0.36213
CVBF,0,0.21347,0.40418,0.61765,-0.01795,0.34477,-0.00938,0.23063,0.06324,0.02505,0.44562
IIJIY,3,-0.00439,0.0049,-0.02479,-0.0057,-0.02967,0.00052,-0.01799,-0.03518,-0.00228,-0.03376
MDRX,2,0.16715,0.07486,0.30609,-0.01041,0.24201,-0.00585,0.16651,0.08685,0.01684,0.30908
RNW,3,-0.00439,0.00385,0.0008,0.00833,-0.00237,-0.00054,-0.00309,0.00939,0.00132,-0.00765
GFR,3,-0.00439,0.00475,0.00472,-0.00901,-0.00638,0.00036,-0.00357,0.02105,0.00108,-0.01027
JSCPY,3,-0.00439,0.00666,-0.01525,0.00975,-0.00139,0.00227,0.00013,0.0101,-0.00178,-0.00057
IRT,3,-0.00439,0.00432,-0.00136,-0.00589,-0.00295,-7e-05,-0.00545,0.02068,-0.00109,-0.00214
RERE,6,0.01212,-0.00956,0.02763,-0.03079,0.00985,-0.001,0.00813,0.00281,0.00256,0.01139
HMN,0,0.21347,0.32847,0.54194,0.00712,0.34637,-0.01107,0.22452,0.11332,0.0255,0.44672
BVN,5,0.11046,0.1749,0.12752,0.0173,0.14293,-0.00427,0.10226,0.28536,0.01194,0.17723
MFG,2,0.16715,0.09505,0.34733,-0.00286,0.2622,-0.00767,0.17709,0.09639,0.01858,0.34272
SNEX,0,0.21347,0.24644,0.4599,-0.01205,0.30819,-0.00873,0.20683,0.10465,0.02206,0.39699
DORM,2,0.16715,0.11381,0.38934,-0.00707,0.28096,-0.0092,0.18218,0.08106,0.02123,0.35415
TNET,3,-0.00439,0.00575,-0.01428,0.0365,-0.00673,0.00136,-0.0043,0.00905,-0.00239,-0.00603
ESTC,6,0.01212,-0.00832,0.01081,-0.01445,0.0011,-0.00035,0.00092,0.01997,0.0038,0.002
SAFE,7,0.21639,0.22357,0.4215,0.00383,0.338,-0.00934,0.22281,0.21606,0.02344,0.43996
RLTY,3,-0.00439,0.0085,-0.06672,0.00659,-0.04004,0.00412,-0.02683,-0.02785,-0.00388,-0.05078
FHTX,6,0.01212,-0.01011,0.01913,-0.00791,0.0231,-0.00137,0.01646,0.0086,0.00201,0.0276
MFC,7,0.21639,0.31492,0.5241,0.01124,0.39312,-0.01047,0.25904,0.14586,0.02935,0.53131
SR,2,0.16715,0.15495,0.43352,-0.02353,0.3221,-0.00947,0.19777,0.17208,0.02191,0.38916
SPHR,3,-0.00439,0.00665,-0.04956,-0.03244,-0.03725,0.00226,-0.02366,0.00063,-0.00112,-0.04693
ILMN,4,0.1117,0.06953,0.24844,-0.00844,0.23709,-0.00555,0.18123,0.12471,0.01682,0.29925
GTHX,6,0.01212,-0.01008,0.00611,0.01839,0.0136,-0.00102,0.01106,0.03101,0.00204,0.01807
ALNT,4,0.1117,0.04482,0.28347,0.00482,0.21541,-0.00222,0.15652,0.10479,0.01181,0.2775
EH,3,-0.00439,0.00387,-0.00269,-0.00498,-0.01277,-0.00051,-0.0092,-0.01186,-0.00105,-0.01523
UPS,2,0.16715,0.15287,0.39813,-0.002,0.32002,-0.00988,0.21126,0.10189,0.02536,0.41633
ARWR,4,0.1117,0.01887,0.16949,-0.00752,0.1593,-0.00211,0.13057,0.08132,0.00971,0.19736
LXRX,4,0.1117,0.02064,0.21247,0.00479,0.15949,-0.00534,0.13234,0.0466,0.01365,0.19061
ADC,2,0.16715,0.13767,0.36799,-0.00666,0.30482,-0.00854,0.19047,0.21206,0.01984,0.38485
JBSAY,6,0.01212,-0.00832,0.01956,-0.01086,0.01656,-0.00056,0.01128,0.00382,0.0038,0.02107
TNP,4,0.1117,0.0416,0.266,0.00852,0.20517,-0.00606,0.1533,0.08118,0.01561,0.26779
DIAX,3,-0.00439,0.00378,-0.00561,-0.00509,-0.00267,-0.0006,-0.00428,0.0024,-0.00106,-0.00472
EUBG,3,-0.00439,0.00641,0.00625,-0.00346,0.00709,0.00203,0.00319,0.0059,0.00104,0.0097
IVCB,6,0.01212,-0.00976,-0.00685,-0.06932,0.00479,-0.00059,0.00798,-0.01016,0.00236,4e-05
SAFT,0,0.21347,0.30256,0.51603,-0.0138,0.32374,-0.01063,0.21011,0.10187,0.02277,0.40424
LVO,3,-0.00439,0.00344,-0.01439,0.00449,-0.01118,-0.00095,-0.00389,-0.02456,0.00076,-0.01256
WRBY,3,-0.00439,0.00535,-0.01077,-0.01596,-0.02241,0.00096,-0.01455,-0.02912,-0.00264,-0.02782
CLS,2,0.16715,0.14781,0.37695,-0.00921,0.31496,-0.00916,0.20994,0.18019,0.0252,0.41357
STEL,3,-0.00439,0.00588,-0.01135,-0.00261,-0.0097,0.0015,-0.00566,0.00802,0.00171,-0.0131
FCPT,3,-0.00439,0.00674,-0.01477,0.01465,-0.01283,0.00235,-0.00846,-0.00026,-0.00223,-0.0179
GILT,4,0.1117,0.03641,0.21768,0.00587,0.2006,-0.00567,0.14811,0.12842,0.01638,0.25771
GSBC,0,0.21347,0.4091,0.62256,-0.01941,0.36026,-0.01011,0.24024,0.0859,0.02415,0.45511
CZR,3,-0.00439,0.00634,0.00251,-0.00608,0.00638,0.00195,0.00346,0.00593,0.00053,0.0062
MFA,4,0.1117,-0.0259,0.15137,-0.00373,0.1405,-0.00639,0.0858,0.15418,0.01756,0.19014
GMGI,6,0.01212,-0.00803,0.01511,-0.00065,0.01222,0.00103,0.00823,0.0082,0.00409,0.01587
WTFC,0,0.21347,0.41737,0.63083,-0.00144,0.38071,-0.01018,0.25002,0.10692,0.02689,0.50579
AAOI,3,-0.00439,0.00396,-0.00947,-0.00025,-0.01562,-0.00043,-0.01164,-0.02835,0.00247,-0.02301
ZGN,1,0.00861,0.05196,-0.09763,0.06057,-0.04767,0.00128,-0.0324,0.01347,-0.0088,-0.05976
EOS,7,0.21639,0.3286,0.44338,-0.00552,0.41341,-0.01116,0.27879,0.27016,0.03104,0.54499
VINP,3,-0.00439,0.00478,-0.02542,0.00542,-0.01687,0.0004,-0.00569,0.00712,-0.00022,-0.01931
MHN,5,0.11046,0.30876,0.11813,0.00808,0.15896,-0.00196,0.09941,0.41921,0.00812,0.20103
SRE,2,0.16715,0.1467,0.34512,-0.01623,0.31385,-0.00843,0.18917,0.20768,0.02286,0.39569
NVG,5,0.11046,0.33992,0.14582,-0.00303,0.1822,-0.00339,0.11408,0.45037,0.00961,0.22914
MTRX,2,0.16715,0.10962,0.38211,-0.00507,0.27677,-0.00909,0.18997,0.12345,0.02519,0.35734
CEM,3,-0.00439,0.0059,0.00558,0.00091,0.00255,0.00151,-0.00102,0.00634,6e-05,0.00623
RILY,6,0.01212,-0.00554,0.13667,0.00311,0.10266,-0.00096,0.07281,0.05782,0.00659,0.13359
ESAB,6,0.01212,-0.00996,0.02538,-0.00069,0.01909,-0.0012,0.00972,0.00611,0.00216,0.0245
AWI,7,0.21639,0.23989,0.44031,-0.00792,0.34103,-0.0092,0.2205,0.14819,0.02407,0.45628
BFLY,6,0.01212,-0.01077,0.0207,-0.00256,0.01399,-0.00027,0.01077,0.04012,0.00136,0.01557
PTA,6,0.01212,-0.00908,0.01006,0.00393,0.0049,0.00035,0.00534,-0.00301,0.00304,0.01242
WVE,3,-0.00439,0.00578,0.00612,-0.00528,0.00207,0.00139,0.00081,0.00368,7e-05,0.00336
BEAM,6,0.01212,-0.01094,0.00192,0.01168,0.00985,-0.00099,0.01041,0.02329,0.00118,0.01257
NEP,3,-0.00439,0.00606,-0.01895,0.01613,-0.01026,0.00167,-0.00577,-0.00457,0.0003,-0.01109
PLUG,4,0.1117,0.0128,0.17009,0.00241,0.1532,-0.0028,0.1245,0.08122,0.01206,0.19349
IHICY,3,-0.00439,0.00679,-0.03018,0.0064,-0.01784,0.0024,-0.01246,-0.00868,-0.00241,-0.02402
SMWB,3,-0.00439,0.00869,-0.00375,-0.01118,0.00102,0.0043,0.00011,-0.01411,-0.00083,-0.00139
SEB,4,0.1117,0.03443,0.31193,-0.00684,0.2181,-0.00864,0.14613,0.07314,0.01884,0.27395
VTYX,6,0.01212,-0.00823,0.00999,-0.01114,0.00194,-0.00311,0.00251,-0.00265,0.00389,-0.00489
CRVL,2,0.16715,0.15652,0.44078,-0.00874,0.32367,-0.00898,0.21453,0.11984,0.02129,0.3992
PLTR,6,0.01212,-0.00785,0.03886,0.00086,0.02426,-0.00038,0.01817,-0.01486,0.00427,0.02337
CRVO,6,0.01212,-0.00995,-0.00365,-0.0079,0.00562,2e-05,0.00824,0.00504,0.00217,0.00157
ADV,3,-0.00439,0.00465,-0.00239,0.00387,0.00014,0.00026,0.00518,-0.00261,0.00115,0.00109
OSW,6,0.01212,-0.0072,-0.00768,-0.00755,0.00102,-0.00048,0.0003,0.02215,0.00492,-0.00063
HPK,6,0.01212,-0.00917,0.01826,-0.00232,0.01684,-0.00144,0.01307,-0.00411,0.00296,0.0231
HUM,2,0.16715,0.07254,0.27008,-0.00852,0.23969,-0.00669,0.15638,0.10984,0.01737,0.30416
FUJIY,4,0.1117,0.02782,0.22667,0.00883,0.19943,-0.00768,0.13952,0.07391,0.01778,0.25249
STGW,4,0.1117,0.03494,0.27909,-0.00518,0.20847,-0.00721,0.14664,0.07701,0.0182,0.26743
AEO,2,0.16715,0.10219,0.35454,0.01654,0.26934,-0.00477,0.17476,0.09417,0.01843,0.34507
AAP,2,0.16715,0.08394,0.31441,-0.00549,0.25109,-0.00523,0.16249,0.10858,0.01658,0.32039
ST,3,-0.00439,0.00432,-0.02828,-0.00755,-0.01693,-6e-05,-0.0113,-0.00382,-0.00064,-0.02053
MMI,3,-0.00439,0.00716,-0.02759,0.01515,-0.0219,0.00277,-0.01405,0.01461,-0.0018,-0.02822
VERV,6,0.01212,-0.00879,0.03432,0.02791,0.02887,0.00079,0.0191,0.00027,0.00333,0.03595
FSLR,4,0.1117,0.05144,0.25721,0.0019,0.22466,-0.0068,0.16314,0.10225,0.01689,0.29013
ZS,6,0.01212,-0.00828,0.00657,-0.03613,0.00771,-0.00055,0.00456,-0.00591,0.00384,0.01124
SGU,4,0.1117,-0.00218,0.18434,-0.00924,0.15827,-0.00477,0.10952,0.11683,0.01085,0.19692
HMY,5,0.11046,0.18179,0.03986,0.01065,0.09,-0.00312,0.0625,0.29224,0.01018,0.10709
DSGN,3,-0.00439,0.00303,-0.03568,-0.02799,-0.03502,-0.00136,-0.01854,-0.00136,0.00183,-0.04458
CVLT,2,0.16715,0.10407,0.31857,-0.00904,0.27122,-0.00729,0.1856,0.11602,0.01891,0.3467
TCOM,4,0.1117,0.0482,0.25125,0.01603,0.22318,-0.00558,0.1599,0.08307,0.01702,0.29376
HNRG,4,0.1117,0.01254,0.21821,-0.00201,0.16503,-0.00404,0.12424,0.06841,0.013,0.20771
EPC,2,0.16715,0.10303,0.35048,-0.003,0.27018,-0.00877,0.17818,0.11848,0.01999,0.34264
PNFP,0,0.21347,0.40627,0.61974,-0.01999,0.37208,-0.00988,0.24767,0.1003,0.02488,0.48626
SMRT,3,-0.00439,0.00576,-0.01857,0.00133,-0.01144,0.00137,-0.01032,0.01654,0.00192,-0.01733
KNSA,6,0.01212,-0.00889,0.02507,-0.02362,0.0193,-0.00078,0.01002,0.00949,0.00324,0.025
NVX,6,0.01212,-0.00713,0.03917,-0.02722,0.03201,-0.00285,0.01862,0.00878,0.005,0.04395
ATOS,3,-0.00439,0.00619,-0.00097,-0.0113,-0.00149,0.0018,0.00046,0.00774,0.00035,-0.0019
HTH,0,0.21347,0.31517,0.52864,-0.00794,0.33439,-0.00883,0.22779,0.12652,0.02272,0.4349
ENV,3,-0.00439,0.00651,0.00523,-0.00336,0.00241,0.00212,0.0013,-0.00808,0.00289,0.00333
JOF,2,0.16715,0.13738,0.34639,0.00866,0.30454,-0.00898,0.20496,0.17361,0.02237,0.3989
BAND,3,-0.00439,0.00455,0.00977,0.01729,-0.00064,0.00016,0.0007,0.00654,-0.00131,-0.00083
CSTE,3,-0.00439,0.00377,0.00369,-0.01064,-0.00401,-0.00061,-0.00481,-0.02995,-0.0,-0.00568
OCFC,0,0.21347,0.37498,0.58845,-0.00174,0.33775,-0.00866,0.22407,0.09819,0.02352,0.43082
BIDU,2,0.16715,0.07742,0.25457,-0.00739,0.24457,-0.00772,0.17797,0.11907,0.02197,0.31374
WEX,7,0.21639,0.30705,0.5067,-0.00571,0.39551,-0.01055,0.25934,0.17156,0.0294,0.52344
INVH,3,-0.00439,0.00583,-0.01561,0.00103,-0.00737,0.00145,-0.00049,-0.00779,0.0015,-0.011
WHR,7,0.21639,0.23458,0.4198,-0.00096,0.34145,-0.00934,0.22273,0.15892,0.02336,0.45097
CSV,4,0.1117,0.04711,0.30604,-0.00468,0.22158,-0.00565,0.15881,0.09025,0.01626,0.27854
LRN,4,0.1117,0.00641,0.20568,-0.01078,0.15931,-0.00652,0.11811,0.03863,0.01803,0.19687
TDUP,1,0.00861,0.09828,0.02884,0.10689,0.02603,0.00019,0.01699,0.0248,-0.00421,0.03501
LYV,7,0.21639,0.22144,0.41596,0.00614,0.32948,-0.0085,0.21861,0.11714,0.02426,0.43783
RNA,3,-0.00439,0.00496,-0.0013,-7e-05,-0.00681,0.00058,0.00244,-0.02793,0.00338,-0.00917
IR,3,-0.00439,0.00459,-0.00088,0.01643,0.00719,0.0002,0.00227,0.02333,-0.0008,0.0038
INO,4,0.1117,-0.01594,0.1069,0.01567,0.10239,-0.0027,0.09576,0.0534,0.0112,0.11993
ARRY,3,-0.00439,0.0064,-0.03305,0.01842,-0.01634,0.00201,-0.0096,0.05184,-0.00091,-0.02021
VDMCY,3,-0.00439,0.00432,-0.0065,-0.00326,-0.00101,-6e-05,-0.00358,-0.01781,-0.00111,0.00064
FISI,0,0.21347,0.39624,0.6097,-0.01926,0.36345,-0.01,0.23718,0.12044,0.02665,0.46615
PROF,3,-0.00439,0.0042,-0.0449,-0.00043,-0.02596,-0.00019,-0.0205,-0.01369,-0.00078,-0.03642
OCSL,2,0.16715,0.13481,0.36929,-0.00033,0.30196,-0.00963,0.19805,0.21462,0.02586,0.3923
RUSHA,0,0.21347,0.28322,0.49669,0.00309,0.3465,-0.01041,0.22889,0.10939,0.02537,0.45353
NAT,4,0.1117,0.04461,0.25924,-0.00116,0.20326,-0.00803,0.15631,0.07421,0.01935,0.25597
ASAN,6,0.01212,-0.00598,0.04195,-0.01031,0.02413,-0.0014,0.01669,-0.02201,0.00614,0.02525
ALDX,3,-0.00439,0.00466,0.00617,-0.01366,0.00585,0.00027,0.00202,0.00589,-0.00119,0.00543
FCFS,2,0.16715,0.13017,0.40723,-0.01509,0.29732,-0.00878,0.19383,0.11912,0.02143,0.38122
HUBB,7,0.21639,0.31023,0.49305,-0.00142,0.38958,-0.01157,0.25163,0.17279,0.02791,0.52662
OBK,3,-0.00439,0.00663,0.00288,0.03975,-0.00493,0.00224,-0.00273,0.00695,-0.00399,-0.00689
LC,3,-0.00439,0.00542,-0.00883,0.00857,-0.00656,0.00104,-0.00415,-0.00466,1e-05,-0.00656
ICHR,3,-0.00439,0.00488,-0.00027,0.00847,-0.00206,0.00049,-3e-05,0.01563,0.00071,0.00015
CNXN,2,0.16715,0.08072,0.33637,-0.01089,0.24787,-0.00824,0.16772,0.07613,0.0174,0.30857
KEN,6,0.01212,-0.00922,0.0061,0.00138,0.00494,-0.00109,0.00147,-0.00539,0.0029,0.00615
SIBN,3,-0.00439,0.00574,-0.01594,0.01468,0.00066,0.00135,-0.00271,0.01872,-0.00145,0.00095
FSLY,3,-0.00439,0.00619,-0.00929,0.00037,-0.0072,0.0018,-0.00292,0.00621,0.00107,-0.00678
SIM,4,0.1117,-0.01125,0.18764,0.00317,0.15512,-0.00758,0.10046,0.08674,0.01409,0.19898
TSNDF,6,0.01212,-0.01035,0.01128,-0.0056,0.00734,-0.0003,0.00351,0.02642,0.00177,0.00693
PRTC,6,0.01212,-0.00789,0.00312,0.01416,0.00789,-0.00214,0.00491,0.00751,0.00423,0.01134
GSK,2,0.16715,0.10599,0.29716,-0.01949,0.27314,-0.00887,0.18247,0.16104,0.02095,0.34447
INTR,6,0.01212,-0.00642,0.01298,-0.00589,0.01427,0.0001,0.01043,0.00115,0.0057,0.01723
BALY,3,-0.00439,0.00395,-0.02053,0.01136,-0.00981,-0.00044,-0.01186,0.01368,0.00243,-0.00965
PRM,3,-0.00439,0.00729,0.00446,0.01259,0.00535,0.0029,0.00326,-0.02511,0.00093,0.01071
NTCOY,3,-0.00439,0.00462,-0.00502,0.00265,-0.00916,0.00023,-0.00445,-0.01717,-0.00103,-0.00754
SLSR,6,0.01212,-0.00819,0.0169,0.0085,0.01215,-0.00206,0.00632,-0.01159,0.00393,0.0171
DIA,7,0.21639,0.42669,0.59676,-0.00585,0.48814,-0.01333,0.31879,0.20909,0.03441,0.64308
JWSM,3,-0.00439,0.00558,-0.00743,-0.00273,-0.00214,0.00119,0.00126,-0.01124,0.00265,0.00102
ITIC,4,0.1117,0.03816,0.29189,-0.01737,0.21916,-0.00233,0.14986,0.11237,0.01032,0.28452
NEN,6,0.01212,-0.00405,0.10511,0.00883,0.09113,-0.00341,0.05844,0.07159,0.00808,0.11988
GRND,3,-0.00439,0.00641,0.00387,-0.00684,0.00225,0.00202,-0.00355,0.02428,-0.00244,0.00251
JCI,7,0.21639,0.26972,0.45526,-0.0057,0.36033,-0.01005,0.23462,0.17257,0.02644,0.48611
BWMN,3,-0.00439,0.00427,-0.05521,0.00408,-0.04582,-0.00012,-0.02769,0.00247,-0.00372,-0.05887
AKRO,3,-0.00439,0.00554,-0.01354,0.00622,-0.00899,0.00115,-0.00084,-0.00637,-0.00357,-0.01315
QD,3,-0.00439,0.00569,-0.01337,0.03371,-0.00309,0.0013,0.0009,0.03063,-0.00142,-0.00485
BRLT,6,0.01212,-0.00853,0.00496,-0.01634,0.00366,-0.00202,0.00303,0.00029,0.00359,0.00146
NYT,2,0.16715,0.11768,0.34851,0.01138,0.28483,-0.00888,0.19112,0.11702,0.02157,0.36522
CMPO,6,0.01212,-0.00527,0.02872,0.00218,0.01561,-0.00201,0.01023,0.00235,0.00685,0.02215
ICE,2,0.16715,0.1551,0.38794,-0.0222,0.32225,-0.00885,0.2086,0.15612,0.02391,0.41964
KMX,2,0.16715,0.15753,0.39102,0.00056,0.32468,-0.00836,0.2138,0.13573,0.02283,0.4278
PCH,7,0.21639,0.27881,0.48327,-5e-05,0.38041,-0.01178,0.25126,0.22385,0.02608,0.4952
FTI,7,0.21639,0.21461,0.42207,0.00481,0.32305,-0.00902,0.21658,0.1388,0.02414,0.431
WEST,6,0.01212,-0.01108,0.02385,-0.00023,0.01497,-0.00058,0.00721,0.03153,0.00104,0.02312
KBH,7,0.21639,0.21656,0.3718,0.0077,0.32375,-0.008,0.21182,0.20125,0.0236,0.43295
UL,2,0.16715,0.11036,0.3078,-0.01592,0.27751,-0.00884,0.17888,0.1545,0.02062,0.34849
BERY,3,-0.00439,0.00725,-0.0329,-0.00658,-0.0151,0.00287,-0.00834,0.01121,0.00093,-0.01747
TTE,7,0.21639,0.26119,0.44756,0.00047,0.35657,-0.0104,0.23378,0.16125,0.02712,0.47758
NVAX,4,0.1117,-0.00258,0.13253,-0.00885,0.12769,-0.00723,0.10912,0.06365,0.01564,0.15387
ATNM,6,0.01212,-0.01199,0.00906,-0.00018,0.00752,-1e-05,0.00434,0.01516,0.00013,0.01335
UMBF,0,0.21347,0.42292,0.63638,-0.01023,0.36573,-0.01126,0.24359,0.07169,0.02734,0.475
BWXT,3,-0.00439,0.00598,-0.00076,-0.02046,0.00223,0.00159,0.00198,-0.00293,-0.00042,0.00254
ABSI,6,0.01212,-0.00857,-0.00293,0.02549,0.0188,-0.00064,0.01165,0.04036,0.00356,0.02087
AWK,2,0.16715,0.10719,0.28638,0.00552,0.27434,-0.00724,0.16695,0.21612,0.01799,0.33205
MMS,2,0.16715,0.14129,0.41623,0.001,0.30844,-0.00957,0.20594,0.08831,0.02215,0.38475
JACK,2,0.16715,0.11295,0.32562,-0.0038,0.2801,-0.0084,0.18601,0.15109,0.02084,0.36309
KUBR,3,-0.00439,0.00657,-0.0017,0.00111,-0.00264,0.00218,-0.00161,0.01825,-0.0013,-0.0036
MTLHY,3,-0.00439,0.00646,-0.01758,-0.00242,-0.01143,0.00207,-0.00682,-0.03408,-0.00257,-0.01297
DINO,2,0.16715,0.11166,0.37594,0.01797,0.27881,-0.00807,0.18571,0.10505,0.01866,0.36752
TTWO,4,0.1117,0.04959,0.22854,-1e-05,0.22449,-0.00874,0.16129,0.1019,0.0212,0.28391
VALN,6,0.01212,-0.00981,0.01564,0.00991,0.01399,-0.00189,0.01401,0.00749,0.00231,0.01637
UVSP,0,0.21347,0.41981,0.63328,-0.02193,0.36735,-0.01008,0.24179,0.10275,0.02637,0.469
PIPR,0,0.21347,0.32583,0.5393,-0.0022,0.37169,-0.00972,0.24819,0.13109,0.02558,0.488
MRUS,3,-0.00439,0.00402,-0.01967,-0.00588,-0.01595,-0.00036,-0.01112,-0.01251,0.00081,-0.01862
FRPT,6,0.01212,-0.0095,0.02095,-0.00803,0.00802,-0.00088,0.00433,-0.00582,0.00262,0.01339
FRO,4,0.1117,0.02507,0.22565,0.00984,0.18303,-0.00637,0.13677,0.0676,0.01555,0.23869
WH,3,-0.00439,0.00611,-0.02472,0.00475,-0.01671,0.00172,-0.00836,-0.01359,-0.00269,-0.03081
