Ticker,Cluster,mean_intragroup_correlation,diff_to_mean_group_corr,correlation_0,correlation_1,correlation_2,correlation_3,correlation_4,correlation_5,correlation_6,correlation_7
WINA,2,0.16715,0.08859,0.33485,-0.00508,0.25574,-0.00698,0.16887,0.11415,0.01767,0.32066
NVS,2,0.16715,0.11681,0.30544,-0.00057,0.28396,-0.00946,0.19438,0.15251,0.01996,0.36032
SSTI,3,-0.00439,0.0046,0.0074,-0.02488,-0.00158,0.00021,0.00019,-0.0123,0.00146,-0.00178
SGRY,3,-0.00439,0.00589,0.00363,-0.01158,0.00441,0.0015,0.00318,-0.01285,-0.00055,0.00826
GOLF,3,-0.00439,0.00521,0.00044,-0.01392,-0.0067,0.00082,-0.00269,-0.01682,0.0002,-0.00074
OPT,3,-0.00439,0.00624,-0.01575,0.01807,-0.01664,0.00185,-0.00966,-0.01845,-5e-05,-0.02317
GNE,3,-0.00439,0.00539,-0.00348,-0.00163,0.00465,0.00101,0.00535,0.00069,-0.00106,0.00255
CC,6,0.01212,-0.0093,0.02108,-0.00593,0.01202,-0.0025,0.00653,-0.00582,0.00283,0.01708
ROAD,3,-0.00439,0.00436,-0.01033,-0.00117,-0.00792,-3e-05,-0.00625,-0.00478,0.00022,-0.01599
NLST,6,0.01212,-0.00159,0.07473,0.00124,0.0679,-0.00484,0.0487,0.03426,0.01053,0.08952
INBX,6,0.01212,-0.00782,0.06007,-0.00064,0.03758,-0.00192,0.02014,0.00387,0.0043,0.04634
ORRF,2,0.16715,0.07991,0.38956,-0.00865,0.24706,-0.0056,0.1632,0.10271,0.01521,0.3138
ENOV,7,0.21639,0.28363,0.47054,-0.01038,0.37204,-0.01036,0.24614,0.17253,0.0268,0.50002
PBH,2,0.16715,0.09115,0.34593,-0.01099,0.2583,-0.00751,0.17241,0.08504,0.01835,0.32497
PSEC,2,0.16715,0.14709,0.39135,-0.00488,0.31424,-0.01035,0.21025,0.16404,0.02464,0.40706
GRMN,2,0.16715,0.13663,0.35583,0.00722,0.30378,-0.0078,0.20255,0.13486,0.02249,0.39511
BIGZ,3,-0.00439,0.0078,-0.03267,0.0133,-0.03749,0.00342,-0.02568,0.00335,-0.00048,-0.0473
HUMA,3,-0.00439,0.00691,0.00824,-0.00371,0.00465,0.00253,0.00232,0.00595,-0.00174,0.00355
GAMB,6,0.01212,-0.01034,0.02948,0.00447,0.02918,-0.00076,0.0201,-0.03048,0.00178,0.03043
M,2,0.16715,0.12092,0.38194,-0.00509,0.28807,-0.00773,0.18553,0.10691,0.02317,0.37278
APOG,0,0.21347,0.28861,0.50208,0.00201,0.35682,-0.00974,0.235,0.16398,0.02338,0.46509
OPRX,6,0.01212,-0.00861,0.07068,0.00421,0.06809,-0.00152,0.05557,0.04869,0.00351,0.0833
SF,0,0.21347,0.38329,0.59675,-0.01894,0.40341,-0.01125,0.27038,0.11605,0.02758,0.53756
RSKD,3,-0.00439,0.00689,-0.01739,0.01622,-0.0089,0.00251,-0.00914,0.00318,-0.00239,-0.01093
HOG,7,0.21639,0.23855,0.44133,-0.00101,0.34327,-0.00983,0.22502,0.15256,0.02583,0.45494
DNOW,6,0.01212,-0.0108,0.01029,0.02783,0.01315,0.00058,0.0076,0.0047,0.00132,0.01689
CCBG,0,0.21347,0.32529,0.53875,-0.0172,0.31743,-0.00818,0.21308,0.09906,0.02158,0.40119
ZG,3,-0.00439,0.00476,-0.00254,-0.01946,-0.00307,0.00038,-0.00378,-0.00021,0.00098,-0.00154
AX,0,0.21347,0.27882,0.49229,-0.0041,0.31515,-0.00742,0.21282,0.09952,0.02027,0.40511
ADSK,7,0.21639,0.22926,0.37279,-0.01,0.34167,-0.01018,0.23507,0.15106,0.02728,0.44565
APEI,4,0.1117,0.0041,0.22492,-0.01583,0.15445,-0.00501,0.1158,0.02268,0.01217,0.18898
BSAC,2,0.16715,0.115,0.34364,0.00579,0.28215,-0.00795,0.18817,0.15333,0.02196,0.3666
INSE,6,0.01212,-0.01004,0.00496,-0.0025,0.01069,-0.00185,0.00769,0.01594,0.00208,0.01311
MYPS,3,-0.00439,0.0041,-0.01504,-0.00661,-0.00456,-0.00029,-0.00357,-0.01608,-0.00169,-0.00886
NET,6,0.01212,-0.00691,0.03648,0.00921,0.02904,-0.00253,0.01667,0.03123,0.00521,0.04629
TFSL,0,0.21347,0.32071,0.53417,-5e-05,0.3299,-0.00855,0.21819,0.12608,0.02268,0.4248
CNHI,3,-0.00439,0.00657,-0.0094,0.0136,-0.00803,0.00218,-0.00463,-0.01254,-0.00306,-0.00843
KARO,3,-0.00439,0.00691,-0.02687,-0.00233,-0.01406,0.00252,-0.00843,-0.01373,0.0004,-0.01632
FBP,2,0.16715,0.10534,0.4326,-0.01416,0.27249,-0.00512,0.18117,0.07313,0.01836,0.35636
AVIR,6,0.01212,-0.01078,0.02773,0.00256,0.01987,0.0014,0.01316,0.04634,0.00134,0.02481
DNN,4,0.1117,0.04773,0.22048,0.03122,0.20948,-0.00569,0.15943,0.12835,0.01765,0.26983
BABA,3,-0.00439,0.00471,0.01259,-0.01255,-0.00218,0.00032,-0.00107,-0.01131,-0.00056,-0.00258
MUX,5,0.11046,0.16506,0.12252,-0.00638,0.13906,-0.00518,0.09781,0.27552,0.01633,0.17412
HMST,6,0.01212,-0.00928,0.02955,0.02334,0.02249,-7e-05,0.01581,0.00333,0.00284,0.02851
EIC,3,-0.00439,0.00544,-0.04596,-0.00364,-0.02993,0.00105,-0.01746,-0.00715,-0.00064,-0.03482
NAMS,3,-0.00439,0.00573,-0.01536,-0.00996,-0.00965,0.00134,-0.00881,0.00963,0.00078,-0.01185
EXPO,0,0.21347,0.23612,0.44959,-0.01969,0.32307,-0.00914,0.21578,0.12314,0.02237,0.40211
RELY,6,0.01212,-0.00862,0.01493,-0.02393,0.01057,-0.00259,0.00591,-0.0065,0.0035,0.01219
ML,3,-0.00439,0.00562,-0.0027,-0.00329,-0.01537,0.00123,-0.00768,-0.00868,-0.0017,-0.0234
NUKK,3,-0.00439,0.00412,-0.01055,0.00571,-0.01318,-0.00027,-0.0077,-0.01337,0.00336,-0.01713
ES,2,0.16715,0.10248,0.28633,-0.00922,0.26964,-0.00944,0.15765,0.19966,0.02083,0.32683
FVRR,3,-0.00439,0.00413,-0.03558,-0.0458,-0.01756,-0.00026,-0.01234,0.00982,5e-05,-0.02146
HCC,3,-0.00439,0.00546,-0.00258,0.01521,-0.00717,0.00108,-0.00304,0.00731,-0.00238,-0.00782
WSC,3,-0.00439,0.00576,7e-05,0.01003,-0.00312,0.00138,-0.00408,0.00283,0.00175,-0.00414
NI,2,0.16715,0.13755,0.34051,-0.00462,0.3047,-0.00887,0.18428,0.20204,0.02047,0.37573
KRRO,3,-0.00439,0.00543,0.00169,-0.00508,-0.00241,0.00105,-0.00267,-0.00455,-0.00129,-0.00133
XPEV,6,0.01212,-0.01172,0.039,0.01217,0.02134,-0.00035,0.01234,0.00613,0.0004,0.02648
DSL,3,-0.00439,0.00695,-0.00022,0.00779,-0.00164,0.00257,-0.001,-0.02692,-0.00147,0.00371
CEF,5,0.11046,0.17202,0.03099,0.00345,0.08314,-0.00338,0.06106,0.28248,0.01031,0.09917
PNRG,4,0.1117,-0.0365,0.13699,-0.00431,0.10921,-0.00108,0.0752,0.08847,0.0046,0.14417
ALKT,3,-0.00439,0.00612,-0.0103,-0.01151,-0.01662,0.00173,-0.01164,-0.02874,-0.00075,-0.01627
VTRU,6,0.01212,-0.00875,0.03117,-0.01675,0.0084,-0.00141,0.00439,0.0057,0.00337,0.00562
HLNE,3,-0.00439,0.00665,-0.03271,0.0037,-0.02302,0.00227,-0.01578,-0.00151,-0.00191,-0.03092
SOUN,6,0.01212,-0.00289,0.03578,-0.0326,0.0285,-0.00016,0.02023,0.05534,0.00923,0.03823
CEG,1,0.00861,0.03889,0.0217,0.0475,0.02344,-0.00174,0.02151,-0.00491,0.00168,0.0349
GNK,3,-0.00439,0.00522,0.01146,0.00069,0.00463,0.00083,0.0018,-0.00101,0.00037,0.0057
YOU,1,0.00861,0.05672,-0.05514,0.06533,-0.04679,0.00194,-0.03066,-0.00651,-0.00379,-0.05563
CRUS,2,0.16715,0.10011,0.31418,-0.00676,0.26726,-0.00844,0.18064,0.11849,0.01934,0.34466
ADNT,6,0.01212,-0.00926,0.02111,-0.00039,0.0094,-0.00063,0.00853,0.02741,0.00286,0.0066
PMM,5,0.11046,0.26866,0.13145,0.00043,0.15894,-0.00229,0.10084,0.37912,0.00887,0.19963
ICFI,2,0.16715,0.12988,0.42399,-0.00927,0.29703,-0.00897,0.19521,0.10252,0.02031,0.37778
ZTO,6,0.01212,-0.00867,0.00198,0.00932,0.00693,-0.00191,0.00313,0.00089,0.00345,0.00827
CG,3,-0.00439,0.00444,-0.00099,0.00061,-0.00647,5e-05,-0.00356,-0.01773,-0.00108,-0.01372
HES,7,0.21639,0.22068,0.41509,0.00071,0.32727,-0.01003,0.22172,0.12546,0.02634,0.43707
XYL,3,-0.00439,0.00483,-0.01521,0.02528,-0.01161,0.00044,-0.00564,-0.00799,-0.0013,-0.01683
RQI,7,0.21639,0.30412,0.44069,-0.00027,0.39407,-0.01094,0.25142,0.31718,0.02811,0.52051
IRDM,2,0.16715,0.10385,0.34466,0.00136,0.27101,-0.0081,0.19432,0.11783,0.0191,0.33786
BXMX,7,0.21639,0.30641,0.43786,-0.0052,0.39692,-0.01159,0.26379,0.28609,0.0292,0.5228
ALTI,3,-0.00439,0.00702,-0.06933,0.0081,-0.03314,0.00263,-0.01951,0.02041,-0.0041,-0.04571
XFLT,3,-0.00439,0.00535,0.00203,0.00466,0.00016,0.00097,-0.00329,0.00375,-0.00264,-0.00031
LBRT,1,0.00861,0.05736,-0.00926,0.06597,-0.00476,0.0008,-0.00339,0.01415,-0.00014,-0.00341
PPBI,0,0.21347,0.29577,0.50924,-0.00211,0.30029,-0.00367,0.20703,0.09494,0.01553,0.39174
LKFN,0,0.21347,0.39248,0.60594,-0.00429,0.3397,-0.00969,0.22949,0.06459,0.02348,0.42841
COF,7,0.21639,0.31595,0.55919,0.01215,0.39232,-0.01056,0.25375,0.14712,0.02731,0.53234
STEW,7,0.21639,0.37628,0.54918,-0.00168,0.44699,-0.01177,0.29353,0.24578,0.03265,0.59267
VVV,3,-0.00439,0.00514,0.00337,0.02044,-0.00091,0.00075,0.00212,-0.01966,-0.00237,0.00366
ASTS,6,0.01212,-0.00836,0.01475,0.00822,0.01658,0.00082,0.01186,0.02466,0.00376,0.022
RDFN,3,-0.00439,0.00529,-0.00971,0.01945,0.00173,0.00091,0.00252,0.0029,0.00054,0.00327
EM,6,0.01212,-0.00646,0.03091,-0.00953,0.03262,-0.00081,0.0249,-0.00966,0.00567,0.03903
ETNB,6,0.01212,-0.00899,0.00899,-0.01376,0.01865,-0.00064,0.01329,0.01534,0.00313,0.02201
LEN,7,0.21639,0.23481,0.38355,0.0121,0.33727,-0.00832,0.21938,0.21394,0.02314,0.4512
RBBN,2,0.16715,0.08075,0.30929,-0.00386,0.2479,-0.00714,0.1759,0.09729,0.01795,0.31324
GEF,2,0.16715,0.15186,0.43943,-0.00212,0.31901,-0.0106,0.21161,0.1001,0.02177,0.41634
SAR,4,0.1117,0.02654,0.24066,-0.01642,0.20961,-0.00262,0.13824,0.16164,0.01069,0.27857
